Plante;Maladie;Description;Symptoms;Traitements;Prevention;
Apple___Apple_scab;Apple Scab;Apple scab is a fungal disease affecting apple trees.;Olive-green to black spots on leaves and fruit.;Apply fungicides during early growth stages. Remove and destroy fallen leaves. Use resistant varieties.;Prune trees to improve air circulation. Avoid overhead irrigation.;
Apple___Black_rot;Black Rot;Black rot is a fungal disease affecting apple trees.;Dark, sunken lesions on fruit, and black cankers on branches.;Remove and destroy infected fruit and branches. Apply fungicides as needed.;Ensure good air circulation by pruning. Avoid wounding the tree.;
Apple___Cedar_apple_rust;Cedar Apple Rust;Cedar apple rust is a fungal disease that requires both cedar and apple trees to complete its life cycle.;Bright orange spots on leaves and fruit.;Apply fungicides at early stages. Remove nearby cedar trees if possible.;Plant resistant apple varieties. Prune to improve air circulation.;
Apple___healthy;Healthy Apple;Your apple tree is healthy! Here’s how to keep it that way:;N/A;Regular watering, especially during dry spells. Prune trees to improve air circulation. Thin fruit to prevent overloading. Monitor for pests and diseases.;N/A;
Blueberry___healthy;Healthy Blueberry;Your blueberry plant is healthy! Here’s how to maintain its health:;N/A;Keep soil consistently moist, especially during fruiting. Mulch to retain moisture and control weeds. Prune to maintain shape and health. Monitor for pests and diseases.;N/A;
Cherry_(including_sour)___Powdery_mildew;Powdery Mildew;Powdery mildew is a fungal disease affecting cherry trees.;White, powdery spots on leaves, stems, and fruit.;Apply fungicides as needed. Remove and destroy infected plant parts.;Ensure good air circulation. Avoid overhead watering.;
Cherry_(including_sour)___healthy;Healthy Cherry;Your cherry tree is healthy! Here’s how to maintain its health:;N/A;Regular watering, especially during dry spells. Prune annually to remove dead or diseased wood. Thin fruit to prevent overloading. Monitor for pests and diseases.;N/A;
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot;Cercospora Leaf Spot (Gray Leaf Spot);Gray leaf spot is a fungal disease affecting corn.;Small, rectangular, gray to tan lesions on leaves.;Apply fungicides as needed. Rotate crops to reduce disease pressure.;Plant resistant varieties. Ensure good air circulation.;
Corn_(maize)___Common_rust_;Common Rust;Common rust is a fungal disease affecting corn.;Reddish-brown pustules on leaves.;Apply fungicides if necessary. Remove and destroy infected plant debris.;Plant resistant varieties. Ensure good air circulation.;
Corn_(maize)___Northern_Leaf_Blight;Northern Leaf Blight;Northern leaf blight is a fungal disease affecting corn.;Long, elliptical gray-green lesions on leaves.;Apply fungicides as needed. Remove and destroy infected plant debris.;Plant resistant varieties. Rotate crops.;
Corn_(maize)___healthy;Healthy Corn;Your corn plant is healthy! Here’s how to maintain its health:;N/A;Regular watering, especially during flowering and kernel development. Mulch to retain moisture and control weeds. Monitor for pests and diseases.;N/A;
Grape___Black_rot;Black Rot;Black rot is a fungal disease affecting grapevines.;Brown, sunken spots on leaves and fruit.;Apply fungicides as needed. Remove and destroy infected plant parts.;Ensure good air circulation. Avoid overhead watering.;
Grape___Esca_(Black_Measles);Esca (Black Measles);Esca is a complex fungal disease affecting grapevines.;Dark streaks in the wood, and black spots on leaves.;Remove and destroy infected plant parts. Apply fungicidesRemove and destroy infected plant parts. Apply fungicides as needed.;Ensure good air circulation. Avoid wounding the vines.;
Grape___Leaf_blight_(Isariopsis_Leaf_Spot);Leaf Blight (Isariopsis Leaf Spot);Leaf blight is a fungal disease affecting grapevines.;Small, dark spots on leaves that enlarge and merge.;Apply fungicides as needed. Remove and destroy infected plant parts.;Ensure good air circulation. Avoid overhead watering.;
Grape___healthy;Healthy Grape;Your grapevine is healthy! Here’s how to maintain its health:;N/A;Regular watering, especially during dry periods. Prune annually to maintain shape and health. Monitor for pests and diseases.;N/A;
Orange___Haunglongbing_(Citrus_greening);Haunglongbing (Citrus Greening);Citrus greening is a bacterial disease affecting citrus trees.;Yellowing of leaves, misshapen fruit, and tree decline.;Remove and destroy infected trees. Use insecticides to control the vector (Asian citrus psyllid).;Plant disease-free stock. Monitor for and control psyllid populations.;
Peach___Bacterial_spot;Bacterial Spot;Bacterial spot is a disease affecting peach trees caused by the bacterium Xanthomonas campestris.;Water-soaked spots on leaves, fruit, and twigs that turn dark and may drop out.;Apply bactericides during early growth stages. Remove and destroy infected leaves and fruit. Use resistant varieties.;Avoid overhead irrigation. Ensure proper spacing for good air circulation. Maintain proper sanitation by removing fallen leaves and debris.;
Peach___healthy;Healthy Peach;Your peach tree is healthy! Here’s how to keep it that way:;N/A;Deep watering every 1-2 weeks, more often during dry periods. Prune annually to remove dead or diseased wood. Thin fruit to prevent overloading. Monitor for pests and diseases.;N/A;
Pepper,_bell___Bacterial_spot;_bell___Bacterial_spot;Bacterial Spot;;Small, water-soaked spots on leaves, stems, and fruit that turn dark and may drop out.;Apply bactericides during early growth stages. Remove and destroy infected leaves and fruit. Use resistant varieties.;Avoid overhead irrigation. Ensure proper spacing for good air circulation. Maintain proper sanitation by removing fallen leaves and debris.
Pepper,_bell___healthy;_bell___healthy;Healthy Pepper;;N/A;1-2 inches of water per week, keep soil consistently moist but not waterlogged. Mulch to retain moisture and suppress weeds. Stake plants to support heavy fruit. Monitor for pests and diseases.;N/A
Potato___Early_blight;Early Blight;Early blight is a fungal disease affecting potato plants.;Dark, concentric spots on lower leaves, which may yellow and drop off.;Apply fungicides at the first sign of disease. Remove and destroy infected plant debris. Rotate crops to reduce disease pressure.;Plant resistant varieties. Avoid overhead watering. Ensure good air circulation around plants.;
Potato___Late_blight;Late Blight;Late blight is a severe fungal disease affecting potato plants.;Water-soaked spots on leaves and stems that turn brown and black, affecting the tubers as well.;Apply fungicides regularly during the growing season. Remove and destroy infected plant parts. Use disease-free seed potatoes.;Plant resistant varieties. Avoid overhead irrigation. Rotate crops with non-susceptible plants.;
Potato___healthy;Healthy Potato;Your potato plant is healthy! Here’s how to maintain its health:;N/A;1-2 inches of water per week, more during dry periods. Hill soil around plants to support tuber development. Mulch to retain moisture and suppress weeds. Monitor for pests and diseases.;N/A;
Raspberry___healthy;Healthy Raspberry;Your raspberry plant is healthy! Here’s how to keep it thriving:;N/A;1-2 inches of water per week, keep soil consistently moist. Mulch to retain moisture and suppress weeds. Prune annually to remove dead canes. Monitor for pests and diseases.;N/A;
Soybean___healthy;Healthy Soybean;Your soybean plant is healthy! Here’s how to maintain its health:;N/A;1-1.5 inches of water per week, more during dry periods. Rotate crops to maintain soil health. Inoculate seeds with nitrogen-fixing bacteria. Monitor for pests and diseases.;N/A;
Squash___Powdery_mildew;Powdery Mildew;Powdery mildew is a common fungal disease affecting squash plants.;White, powdery spots on leaves, stems, and flowers.;Apply fungicidal sprays as needed. Remove and destroy infected plant parts. Water plants at the base to keep foliage dry.;Plant in areas with good air circulation. Avoid overcrowding plants. Apply a layer of mulch to prevent the spread of spores.;
Strawberry___Leaf_scorch;Leaf Scorch;Leaf scorch is a fungal disease affecting strawberry plants.;Irregular, dark purple spots on leaves that may merge and turn brown.;Remove and destroy infected leaves. Apply fungicides as needed.;Avoid overhead watering. Ensure proper spacing for good air circulation. Use resistant varieties if available.;
Strawberry___healthy;Healthy Strawberry;Your strawberry plant is healthy! Here’s how to maintain its health:;N/A;1-2 inches of water per week, keep soil consistently moist but not waterlogged. Mulch to retain moisture and suppress weeds. Remove runners to direct energy to fruit production. Monitor for pests and diseases.;N/A;
Tomato___Bacterial_spot;Bacterial Spot;Bacterial spot is a disease affecting tomato plants caused by Xanthomonas campestris.;Small, water-soaked spots on leaves, stems, and fruit that turn dark and may drop out.;Apply bactericides during early growth stages. Remove and destroy infected leaves and fruit. Use resistant varieties.;Avoid overhead irrigation. Ensure proper spacing for good air circulation. Maintain proper sanitation by removing fallen leaves and debris.;
Tomato___Early_blight;Early Blight;Early blight is a fungal disease affecting tomato plants.;Dark, concentric spots on lower leaves, which may yellow and drop off.;Apply fungicides at the first sign of disease. Remove and destroy infected plant debris. Rotate crops to reduce disease pressure.;Plant resistant varieties. Avoid overhead watering. Ensure good air circulation around plants.;
Tomato___Late_blight;Late Blight;Late blight is a severe fungal disease affecting tomato plants.;Water-soaked spots on leaves and stems that turn brown and black, affecting the fruit as well.;Apply fungicides regularly during the growing season. Remove and destroy infected plant parts. Use disease-free seed potatoes.;Plant resistant varieties. Avoid overhead irrigation. Rotate crops with non-susceptible plants.;
Tomato___Leaf_Mold;Leaf Mold;Leaf mold is a fungal disease affecting tomato plants.;Yellow spots on upper leaf surfaces with a fuzzy, grayish mold on the undersides.;Apply fungicides as needed. Remove and destroy infected plant parts.;Ensure good air circulation. Avoid overhead watering.;
Tomato___Septoria_leaf_spot;Septoria Leaf Spot;Septoria leaf spot is a fungal disease affecting tomato plants.;Small, circular spots with dark borders on leaves.;Apply fungicides as needed. Remove and destroy infected plant parts.;Ensure good air circulation. Avoid overhead watering.;
Tomato___Spider_mites Two-spotted_spider_mite;Spider Mites (Two-spotted Spider Mite);Spider mites are tiny pests that can severely damage tomato plants.;Yellowing and stippling of leaves, webbing on plants.;Apply miticides as needed. Remove and destroy heavily infested plants.;Ensure proper watering and humidity. Monitor regularly for mites.;
Tomato___Target_Spot;Target Spot;Target spot is a fungal disease affecting tomato plants.;Small, dark spots on leaves that enlarge and merge.;Apply fungicides as needed. Remove and destroy infected plant parts.;Plant resistant varieties. Avoid overhead watering. Ensure good air circulation.;
Tomato___Tomato_Yellow_Leaf_Curl_Virus;Tomato Yellow Leaf Curl Virus;Tomato yellow leaf curl virus is a viral disease affecting tomato plants.;Yellowing of leaves, misshapen fruit, and stunted growth.;Remove and destroy infected leaves. Use resistant varieties.;Control the vector (whitefly). Use resistant varieties.;
Tomato___Tomato_mosaic_virus;Tomato Mosaic Virus;Tomato mosaic virus is a viral disease affecting tomato plants.;Mosaic pattern on leaves, stunted growth.;Apply fungicides as needed. Remove and destroy infected plant parts.;Ensure good air circulation. Avoid overhead watering.;
Tomato___healthy;Healthy Tomato;Your tomato plant is healthy! Here’s how to maintain its health:;N/A;1-2 inches of water per week, keep soil consistently moist but not waterlogged. Mulch to retain moisture and suppress weeds. Stake or cage plants to support growth. Monitor for pests and diseases.;N/A;
